,title,category,price,rating,url
0,"Ratna's Little Business 5-in-1 Board Game Popular with Notes - Includes Other Games Like Ludo, Snakes & Ladders, Car Rally, and Cricket - Made in India",In-game Currency,₹135.00,3.9 out of 5 stars,https://www.amazon.in/Ratnas-strategy-business-currency-businessman/dp/B075Z3VKGR/ref=sr_1_1?dib=eyJ2IjoiMSJ9.F45sxEPMLbQ3u1ybuBThAbf8m1j3nefhJMCiNjSpQbtJuw3JjCp8Fom7kjScKILzEH1nCz14C5wFpj--_B0zlJrxCRlVPnLT13di08wJapxpdh3AhziNXU7iQdunURHL-MUN9N_kYh0ChxDupJMzHxyp_eFaUOlWtyPH-Jx1ie0ugrO9TOcjLEUh2xOPyZJIOJdLBpK8BfnGt9p05Gl1FXWuSQZd702v7rYld8cC862BRYK0Ab8SwoExwWTq-s1mgaCrrbRWmmnPm11B_SQw7bDpkVRc-ohI-x2F-JHpRfk.xAYXj9_PLXw_dwMXkobPYdpIdfhih29zd2WOtlZ5lqU&dib_tag=se&keywords=In-game+Currency&qid=1724432641&sr=8-1
1,"Velinor 120-Piece Indian Rupee Play Currency Set for Kids, Multicolour Notes in 10, 20, 50, 100, 200, 500 Denominations, Pretend Money Gag Toy",In-game Currency,₹99.00,,https://www.amazon.in/Velinor-120-Piece-Currency-Multicolour-Denominations/dp/B0D677JGGM/ref=sr_1_2?dib=eyJ2IjoiMSJ9.F45sxEPMLbQ3u1ybuBThAbf8m1j3nefhJMCiNjSpQbtJuw3JjCp8Fom7kjScKILzEH1nCz14C5wFpj--_B0zlJrxCRlVPnLT13di08wJapxpdh3AhziNXU7iQdunURHL-MUN9N_kYh0ChxDupJMzHxyp_eFaUOlWtyPH-Jx1ie0ugrO9TOcjLEUh2xOPyZJIOJdLBpK8BfnGt9p05Gl1FXWuSQZd702v7rYld8cC862BRYK0Ab8SwoExwWTq-s1mgaCrrbRWmmnPm11B_SQw7bDpkVRc-ohI-x2F-JHpRfk.xAYXj9_PLXw_dwMXkobPYdpIdfhih29zd2WOtlZ5lqU&dib_tag=se&keywords=In-game+Currency&qid=1724432641&sr=8-2
2,Lai Lai Fake Money Note for Kids Learn Money Skills Dummy Note Nakli Note Set All New 5 * 6 10 | 20 | 50 | 100 | 200 | 500 Artificial Playing Currency -Multi Color,In-game Currency,₹99.00,,https://www.amazon.in/Lai-Fake-Artificial-Playing-Currency/dp/B0D54VS8S2/ref=sr_1_3?dib=eyJ2IjoiMSJ9.F45sxEPMLbQ3u1ybuBThAbf8m1j3nefhJMCiNjSpQbtJuw3JjCp8Fom7kjScKILzEH1nCz14C5wFpj--_B0zlJrxCRlVPnLT13di08wJapxpdh3AhziNXU7iQdunURHL-MUN9N_kYh0ChxDupJMzHxyp_eFaUOlWtyPH-Jx1ie0ugrO9TOcjLEUh2xOPyZJIOJdLBpK8BfnGt9p05Gl1FXWuSQZd702v7rYld8cC862BRYK0Ab8SwoExwWTq-s1mgaCrrbRWmmnPm11B_SQw7bDpkVRc-ohI-x2F-JHpRfk.xAYXj9_PLXw_dwMXkobPYdpIdfhih29zd2WOtlZ5lqU&dib_tag=se&keywords=In-game+Currency&qid=1724432641&sr=8-3
3,"RATNA'S Fun Filled Business 5 in 1 Deluxe Game with Plastic Money Coins & 2 in 1 Business and Chess Deluxe Board Game with Biscuit Coins Inside to Develop Concentration and Brain Skills, Kid",In-game Currency,₹758.00,4.2 out of 5 stars,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo5NjM0MDExOTMyNjE2OTE6MTcyNDQzMjY0MTpzcF9zZWFyY2hfdGhlbWF0aWM6MjAxNDIwMTcxNTk2OTg6OjA6Og&url=%2FBusiness-Plastic-Biscuit-Develop-Concentration%2Fdp%2FB09SZ2NH5V%2Fref%3Dsxin_15_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.6c693193-d8ab-43a0-b6bb-50a742f3faad%253Aamzn1.sym.6c693193-d8ab-43a0-b6bb-50a742f3faad%26cv_ct_cx%3DIn-game%2BCurrency%26dib%3DeyJ2IjoiMSJ9.AWRvT-QLbjBp_3X7XH_qDZNDyp5XrIrEJJMMZMnHZZ82IybiL0wjp43a_KG0Qnwt09bBUG_26Yg7IUYfVHNf-A.Qv2cruQV6Jqea4x8tIvyJX4O_rnAM5e_ZXUQvDooJig%26dib_tag%3Dse%26keywords%3DIn-game%2BCurrency%26pd_rd_i%3DB09SZ2NH5V%26pd_rd_r%3De93cd477-6943-481e-b923-7ecad70c27c3%26pd_rd_w%3Dhc9HZ%26pd_rd_wg%3DWFlp4%26pf_rd_p%3D6c693193-d8ab-43a0-b6bb-50a742f3faad%26pf_rd_r%3D827JTMPCGATA14T4KE4H%26qid%3D1724432641%26sbo%3D7oa42w0ILTiF6GME4JGy%252BQ%253D%253D%26sr%3D1-1-ced4eeeb-b190-41d6-902a-1ecb3fb8b7c4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
4,"THE PANDEMIC WARS : Card Game, Strategy, Skill, Business Game, 3-7 Players",In-game Currency,₹899.00,4.1 out of 5 stars,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo5NjM0MDExOTMyNjE2OTE6MTcyNDQzMjY0MTpzcF9zZWFyY2hfdGhlbWF0aWM6MzAwMjEyNDI0OTM3ODMyOjoxOjo&url=%2FPandemic-Wars-Strategy-Business-Players%2Fdp%2FB08MB4JJVC%2Fref%3Dsxin_15_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.6c693193-d8ab-43a0-b6bb-50a742f3faad%253Aamzn1.sym.6c693193-d8ab-43a0-b6bb-50a742f3faad%26cv_ct_cx%3DIn-game%2BCurrency%26dib%3DeyJ2IjoiMSJ9.AWRvT-QLbjBp_3X7XH_qDZNDyp5XrIrEJJMMZMnHZZ82IybiL0wjp43a_KG0Qnwt09bBUG_26Yg7IUYfVHNf-A.Qv2cruQV6Jqea4x8tIvyJX4O_rnAM5e_ZXUQvDooJig%26dib_tag%3Dse%26keywords%3DIn-game%2BCurrency%26pd_rd_i%3DB08MB4JJVC%26pd_rd_r%3De93cd477-6943-481e-b923-7ecad70c27c3%26pd_rd_w%3Dhc9HZ%26pd_rd_wg%3DWFlp4%26pf_rd_p%3D6c693193-d8ab-43a0-b6bb-50a742f3faad%26pf_rd_r%3D827JTMPCGATA14T4KE4H%26qid%3D1724432641%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-2-ced4eeeb-b190-41d6-902a-1ecb3fb8b7c4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
5,"BKDT Marketing Business India Board Game 5 in 1 Board Game with Other Games Like Ludo, Snakes Ladder, Car Rally & Cricket (Junior Business with Coins)",In-game Currency,₹270.00,4.3 out of 5 stars,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo5NjM0MDExOTMyNjE2OTE6MTcyNDQzMjY0MTpzcF9zZWFyY2hfdGhlbWF0aWM6MzAwMjY4OTE4MTYwMjMyOjoyOjo&url=%2FBKDT-Marketing-Business-Snakes-Cricket%2Fdp%2FB0CP3MRT7F%2Fref%3Dsxin_15_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.6c693193-d8ab-43a0-b6bb-50a742f3faad%253Aamzn1.sym.6c693193-d8ab-43a0-b6bb-50a742f3faad%26cv_ct_cx%3DIn-game%2BCurrency%26dib%3DeyJ2IjoiMSJ9.AWRvT-QLbjBp_3X7XH_qDZNDyp5XrIrEJJMMZMnHZZ82IybiL0wjp43a_KG0Qnwt09bBUG_26Yg7IUYfVHNf-A.Qv2cruQV6Jqea4x8tIvyJX4O_rnAM5e_ZXUQvDooJig%26dib_tag%3Dse%26keywords%3DIn-game%2BCurrency%26pd_rd_i%3DB0CP3MRT7F%26pd_rd_r%3De93cd477-6943-481e-b923-7ecad70c27c3%26pd_rd_w%3Dhc9HZ%26pd_rd_wg%3DWFlp4%26pf_rd_p%3D6c693193-d8ab-43a0-b6bb-50a742f3faad%26pf_rd_r%3D827JTMPCGATA14T4KE4H%26qid%3D1724432641%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-3-ced4eeeb-b190-41d6-902a-1ecb3fb8b7c4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
6,"Ratna's Business JR. Coins 5 in 1 Board Game Set | includes Games Like Business, Snake and Ladders, Ludo, Car Rally, and Cricket | Perfect for Kids & Adults 2-4 Players",In-game Currency,₹179.00,4.1 out of 5 stars,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo5NjM0MDExOTMyNjE2OTE6MTcyNDQzMjY0MTpzcF9zZWFyY2hfdGhlbWF0aWM6MzAwMTYwOTIwODg3ODMyOjozOjo&url=%2FBusiness-Ladders-Cricket-Perfect-Players%2Fdp%2FB01JAAGVA8%2Fref%3Dsxin_15_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.6c693193-d8ab-43a0-b6bb-50a742f3faad%253Aamzn1.sym.6c693193-d8ab-43a0-b6bb-50a742f3faad%26cv_ct_cx%3DIn-game%2BCurrency%26dib%3DeyJ2IjoiMSJ9.AWRvT-QLbjBp_3X7XH_qDZNDyp5XrIrEJJMMZMnHZZ82IybiL0wjp43a_KG0Qnwt09bBUG_26Yg7IUYfVHNf-A.Qv2cruQV6Jqea4x8tIvyJX4O_rnAM5e_ZXUQvDooJig%26dib_tag%3Dse%26keywords%3DIn-game%2BCurrency%26pd_rd_i%3DB01JAAGVA8%26pd_rd_r%3De93cd477-6943-481e-b923-7ecad70c27c3%26pd_rd_w%3Dhc9HZ%26pd_rd_wg%3DWFlp4%26pf_rd_p%3D6c693193-d8ab-43a0-b6bb-50a742f3faad%26pf_rd_r%3D827JTMPCGATA14T4KE4H%26qid%3D1724432641%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-4-ced4eeeb-b190-41d6-902a-1ecb3fb8b7c4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
7,Headwoll Tic Tac Stack Mind Challenging Strategy Family Board Game for Kids & Adults,In-game Currency,₹299.00,4.6 out of 5 stars,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo5NjM0MDExOTMyNjE2OTE6MTcyNDQzMjY0MTpzcF9zZWFyY2hfdGhlbWF0aWM6MzAwMDk4ODIwOTQ5NzMyOjo0Ojo&url=%2FHeadwoll-Challenging-Strategy-Family-Adults%2Fdp%2FB0CKN7TRYQ%2Fref%3Dsxin_15_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.6c693193-d8ab-43a0-b6bb-50a742f3faad%253Aamzn1.sym.6c693193-d8ab-43a0-b6bb-50a742f3faad%26cv_ct_cx%3DIn-game%2BCurrency%26dib%3DeyJ2IjoiMSJ9.AWRvT-QLbjBp_3X7XH_qDZNDyp5XrIrEJJMMZMnHZZ82IybiL0wjp43a_KG0Qnwt09bBUG_26Yg7IUYfVHNf-A.Qv2cruQV6Jqea4x8tIvyJX4O_rnAM5e_ZXUQvDooJig%26dib_tag%3Dse%26keywords%3DIn-game%2BCurrency%26pd_rd_i%3DB0CKN7TRYQ%26pd_rd_r%3De93cd477-6943-481e-b923-7ecad70c27c3%26pd_rd_w%3Dhc9HZ%26pd_rd_wg%3DWFlp4%26pf_rd_p%3D6c693193-d8ab-43a0-b6bb-50a742f3faad%26pf_rd_r%3D827JTMPCGATA14T4KE4H%26qid%3D1724432641%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-5-ced4eeeb-b190-41d6-902a-1ecb3fb8b7c4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
8,"R Singh Dollar Money Toys for Kids, 700 Pieces Fake Currency Notes, 7 Designs, Learning and Education, Multicolour 700 Doller...",In-game Currency,₹299.00,,https://www.amazon.in/Currency-Designs-Learning-Education-Multicolour/dp/B0D8198BYT/ref=sr_1_4?dib=eyJ2IjoiMSJ9.F45sxEPMLbQ3u1ybuBThAbf8m1j3nefhJMCiNjSpQbtJuw3JjCp8Fom7kjScKILzEH1nCz14C5wFpj--_B0zlJrxCRlVPnLT13di08wJapxpdh3AhziNXU7iQdunURHL-MUN9N_kYh0ChxDupJMzHxyp_eFaUOlWtyPH-Jx1ie0ugrO9TOcjLEUh2xOPyZJIOJdLBpK8BfnGt9p05Gl1FXWuSQZd702v7rYld8cC862BRYK0Ab8SwoExwWTq-s1mgaCrrbRWmmnPm11B_SQw7bDpkVRc-ohI-x2F-JHpRfk.xAYXj9_PLXw_dwMXkobPYdpIdfhih29zd2WOtlZ5lqU&dib_tag=se&keywords=In-game+Currency&qid=1724432641&sr=8-4
9,"MSGH Dummy 85GSM Currency Notes,Artificial Currency, for Kids Money Note Playing Money Game Educational Toys for Boys and Girls (300 Nos for 500 Denomination)",In-game Currency,₹119.00,5.0 out of 5 stars,https://www.amazon.in/MSGH-Currency-Artificial-Educational-Denomination/dp/B0D4TRXPMQ/ref=sr_1_5?dib=eyJ2IjoiMSJ9.F45sxEPMLbQ3u1ybuBThAbf8m1j3nefhJMCiNjSpQbtJuw3JjCp8Fom7kjScKILzEH1nCz14C5wFpj--_B0zlJrxCRlVPnLT13di08wJapxpdh3AhziNXU7iQdunURHL-MUN9N_kYh0ChxDupJMzHxyp_eFaUOlWtyPH-Jx1ie0ugrO9TOcjLEUh2xOPyZJIOJdLBpK8BfnGt9p05Gl1FXWuSQZd702v7rYld8cC862BRYK0Ab8SwoExwWTq-s1mgaCrrbRWmmnPm11B_SQw7bDpkVRc-ohI-x2F-JHpRfk.xAYXj9_PLXw_dwMXkobPYdpIdfhih29zd2WOtlZ5lqU&dib_tag=se&keywords=In-game+Currency&qid=1724432641&sr=8-5
