,time,latitude,longitude
0,1722941234,46.6849,71.9051
1,1722941234,46.6711,71.9458
2,1722941235,46.6573,71.9864
3,1722941235,46.6434,72.0270
4,1722941239,46.5462,72.3106
5,1722941239,46.5322,72.3511
6,1722941240,46.5182,72.3915
7,1722941240,46.5042,72.4319
8,1722941241,46.4902,72.4723
9,1722941241,46.4762,72.5126
10,1722941242,46.4622,72.5530
11,1722941258,46.0047,73.8319
12,1722941258,45.9902,73.8715
13,1722941262,45.8879,74.1481
14,1722941265,45.7849,74.4236
15,1722941266,45.7701,74.4629
16,1722941266,45.7553,74.5021
17,1722941267,45.7405,74.5414
18,1722941282,45.2743,75.7466
19,1722941284,45.2131,75.9005
20,1722941328,43.8107,79.2001
21,1722941333,43.6781,79.4918
22,1722941333,43.6614,79.5282
23,1722941334,43.6448,79.5645
24,1722941380,42.0417,82.8524
25,1722941381,42.0239,82.8868
26,1722941384,41.8990,83.1268
27,1722941386,41.8453,83.2294
28,1722941389,41.7195,83.4681
29,1722941393,41.5932,83.7057
30,1722941393,41.5752,83.7396
31,1722941394,41.5571,83.7734
32,1722941411,40.9351,84.9126
33,1722941411,40.9166,84.9458
34,1722941415,40.7869,85.1773
35,1722941415,40.7683,85.2103
36,1722941419,40.6381,85.4407
37,1722941422,40.5073,85.6701
38,1722941423,40.4885,85.7029
39,1722941438,39.9030,86.7069
40,1722941442,39.7694,86.9312
41,1722941442,39.7503,86.9631
42,1722941444,39.6928,87.0588
43,1722941445,39.6353,87.1544
44,1722941449,39.4815,87.4085
45,1722941451,39.4043,87.5351
46,1722941483,38.1692,89.4897
47,1722941483,38.1493,89.5202
48,1722941499,37.5280,90.4553
49,1722941499,37.5078,90.4852
50,1722941501,37.4270,90.6046
51,1722941502,37.4068,90.6344
52,1722941503,37.3461,90.7237
53,1722941504,37.3258,90.7534
54,1722941507,37.1838,90.9610
55,1722941508,37.1634,90.9906
56,1722941508,37.1634,90.9906
57,1722941512,37.0005,91.2268
58,1722941512,36.9801,91.2562
59,1722941545,35.6364,93.1343
60,1722941545,35.6155,93.1627
61,1722941546,35.5946,93.1910
62,1722941546,35.5736,93.2193
63,1722941547,35.5527,93.2476
64,1722941547,35.5317,93.2759
65,1722941548,35.5107,93.3042
66,1722941551,35.3637,93.5017
67,1722941553,35.3006,93.5861
68,1722941553,35.2795,93.6142
69,1722941561,34.9628,94.0338
70,1722941561,34.9417,94.0617
71,1722941593,33.5934,95.7858
72,1722941593,33.5717,95.8127
73,1722941594,33.5501,95.8396
74,1722941594,33.5285,95.8664
75,1722941595,33.5068,95.8933
76,1722941595,33.4852,95.9201
77,1722941596,33.4635,95.9469
78,1722941596,33.4418,95.9738
79,1722941600,33.2900,96.1610
80,1722941600,33.2683,96.1876
81,1722941601,33.2466,96.2143
82,1722941604,33.0943,96.4006
83,1722941606,33.0290,96.4803
84,1722941641,31.4878,98.3032
85,1722941642,31.4656,98.3287
86,1722941642,31.4434,98.3543
87,1722941644,31.3766,98.4309
88,1722941644,31.3543,98.4564
89,1722941648,31.1983,98.6344
90,1722941648,31.1760,98.6598
91,1722941652,31.0197,98.8372
92,1722941652,30.9973,98.8625
93,1722941668,30.3014,99.6401
94,1722941668,30.2789,99.6650
95,1722941669,30.2563,99.6899
96,1722941700,28.8252,101.2324
97,1722941701,28.8023,101.2566
98,1722941701,28.7794,101.2807
99,1722941702,28.7565,101.3047
